"","sero_thresh","foi_sp","NNT_e","DeathsAverted_e","prop_red_e_med","Deaths_e","NNT","DeathsAverted","Deaths","NumCampaign","FirstVaxTime"
"15","0",0.8,"NA (NA-NA)","0 (0-0)","0%","12864 (12355-13209)","NA (NA-NA)","0 (0-0)","17764 (17064-18239)","0 (0-0)","NA (NA-NA)"
"16","0",0.8,"NA (NA-NA)","0 (0-0)","0%","11789 (11267-12065)","NA (NA-NA)","0 (0-0)","16301 (15567-16676)","0 (0-0)","NA (NA-NA)"
"17","0",0.9,"NA (NA-NA)","0 (0-0)","0%","14560 (13910-14986)","NA (NA-NA)","0 (0-0)","20060 (19155-20669)","0 (0-0)","NA (NA-NA)"
"18","0",0.9,"NA (NA-NA)","0 (0-0)","0%","13363 (12809-13737)","NA (NA-NA)","0 (0-0)","18430 (17675-18973)","0 (0-0)","NA (NA-NA)"
"19","0",0.9,"NA (NA-NA)","0 (0-0)","0%","12550 (12012-12872)","NA (NA-NA)","0 (0-0)","17334 (16593-17793)","0 (0-0)","NA (NA-NA)"
"20","0",0.9,"NA (NA-NA)","0 (0-0)","0%","11922 (11413-12237)","NA (NA-NA)","0 (0-0)","16486 (15777-16925)","0 (0-0)","NA (NA-NA)"
"21","0.5",0.5,"531 (-243-1345)","979 (-89-2424)","10%","8985 (7991-10033)","411 (-105-1147)","1241 (-151-3117)","12490 (11144-13910)","1 (0-1)","2840 (1989-3497)"
"22","0.5",0.6,"534 (307-2926)","1262 (168-2530)","12%","9350 (8042-10151)","424 (241-11102)","1554 (44-3214)","13078 (11332-14048)","1 (1-2)","2028 (1978-3056)"
"23","0.5",0.7,"447 (352-715)","1450 (889-2107)","13%","9876 (8867-10592)","365 (285-556)","1834 (1144-2672)","13851 (12478-14671)","1 (1-2)","2036 (1968-2996)"
"24","0.5",0.8,"572 (389-767)","1148 (867-1635)","10%","10627 (9900-11081)","439 (288-613)","1518 (1112-2207)","14804 (13767-15414)","1 (1-1)","2696 (2063-2991)"
"25","0.5",0.9,"691 (516-895)","1186 (866-1805)","10%","10747 (9689-11294)","522 (393-678)","1580 (1139-2330)","14912 (13551-15645)","1 (1-2)","2362 (2036-2568)"
"26","0.55",0.5,"488 (386-837)","2613 (1522-3297)","26%","7468 (7106-8475)","382 (300-715)","3329 (1783-4244)","10573 (10056-11879)","2 (2-2)","1694 (993-2077)"
